epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,350.971,1.69404,2.79981,1.79194,0.43353,0.40162,0.37755,0.16408,1.8213,2.79544,1.91926,0.00333111,0.00333111,0.00333111
2,701.032,1.63034,2.20689,1.72627,0.46955,0.50198,0.49481,0.2131,1.96499,2.24164,1.93573,0.00658197,0.00658197,0.00658197
3,1050.43,1.67518,2.11647,1.77798,0.54561,0.44331,0.47082,0.21347,1.93738,2.20802,2.0117,0.00975033,0.00975033,0.00975033
4,1399.46,1.69521,2.03936,1.80232,0.60782,0.55337,0.54925,0.25142,1.85319,1.89355,1.95315,0.00962875,0.00962875,0.00962875
5,1748.81,1.65197,1.9323,1.76792,0.66463,0.52979,0.57713,0.27064,1.79802,1.79422,1.88188,0.009505,0.009505,0.009505
6,2098.16,1.61656,1.83636,1.74499,0.61593,0.58812,0.61175,0.30176,1.74552,1.66776,1.83271,0.00938125,0.00938125,0.00938125
7,2446.88,1.58293,1.77191,1.71385,0.67094,0.60636,0.63971,0.31711,1.72746,1.63496,1.78801,0.0092575,0.0092575,0.0092575
8,2796.24,1.55911,1.71947,1.69144,0.70957,0.55503,0.63174,0.31798,1.71369,1.60744,1.79343,0.00913375,0.00913375,0.00913375
9,3145.22,1.54722,1.66925,1.67695,0.69249,0.63889,0.67028,0.33499,1.7223,1.56063,1.77224,0.00901,0.00901,0.00901
10,3493.88,1.52491,1.63809,1.66725,0.69071,0.62588,0.66491,0.3311,1.69351,1.48181,1.76986,0.00888625,0.00888625,0.00888625
11,3842.55,1.50896,1.61606,1.65758,0.67726,0.60099,0.66797,0.34229,1.68232,1.47258,1.77022,0.0087625,0.0087625,0.0087625
12,4191.48,1.49854,1.5743,1.63798,0.68448,0.64888,0.691,0.35218,1.67627,1.44979,1.75777,0.00863875,0.00863875,0.00863875
13,4540.75,1.4953,1.55903,1.6361,0.75553,0.63729,0.70209,0.3593,1.68783,1.45168,1.75857,0.008515,0.008515,0.008515
14,4890.13,1.47919,1.53586,1.62951,0.70784,0.67516,0.69933,0.36365,1.652,1.3804,1.72702,0.00839125,0.00839125,0.00839125
15,5238.2,1.4705,1.50496,1.6126,0.74594,0.67347,0.71457,0.37238,1.64819,1.37976,1.7264,0.0082675,0.0082675,0.0082675
16,5587.27,1.46083,1.48034,1.60361,0.74732,0.67087,0.72817,0.38211,1.6563,1.33243,1.7303,0.00814375,0.00814375,0.00814375
17,5936.61,1.45411,1.46813,1.59521,0.75345,0.65985,0.71145,0.37295,1.63843,1.35063,1.7045,0.00802,0.00802,0.00802
18,6285.7,1.44183,1.4357,1.58723,0.68948,0.69794,0.71425,0.385,1.62697,1.33893,1.68896,0.00789625,0.00789625,0.00789625
19,6634.75,1.4315,1.42285,1.57834,0.73835,0.68945,0.72568,0.38237,1.61598,1.32761,1.66756,0.0077725,0.0077725,0.0077725
20,6983.63,1.43115,1.42731,1.5825,0.75513,0.67862,0.72755,0.39183,1.61064,1.3086,1.67617,0.00764875,0.00764875,0.00764875
